,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
23,23,20210608, 16:22:33,0.09701204,1.248716,-0.1890838,-0.02712324,0.7823977,0.05045596, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe bvp O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
24,24,20210608, 16:22:33,0.0970304,1.248753,-0.1887273,-0.02677072,0.7815533,0.05059943, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
25,25,20210608, 16:22:33,0.0970304,1.248753,-0.1887273,-0.02677072,0.7815533,0.05059943, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
26,26,20210608, 16:22:33,0.0970304,1.248753,-0.1887273,-0.02677072,0.7815533,0.05059943, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
27,27,20210608, 16:22:33,0.09700632,1.248831,-0.1881563,-0.02636719,0.7804903,0.05122883, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
28,28,20210608, 16:22:33,0.09700632,1.248831,-0.1881563,-0.02636719,0.7804903,0.05122883, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
29,29,20210608, 16:22:33,0.09700632,1.248831,-0.1881563,-0.02636719,0.7804903,0.05122883, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
30,30,20210608, 16:22:33,0.09704208,1.248842,-0.187791,-0.02606737,0.7800168,0.05165536, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
31,31,20210608, 16:22:33,0.09704208,1.248842,-0.187791,-0.02606737,0.7800168,0.05165536, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
32,32,20210608, 16:22:33,0.09704208,1.248842,-0.187791,-0.02606737,0.7800168,0.05165536, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
33,33,20210608, 16:22:33,0.0970428,1.248907,-0.1874211,-0.02557424,0.7794009,0.05243542, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
34,34,20210608, 16:22:33,0.0970428,1.248907,-0.1874211,-0.02557424,0.7794009,0.05243542, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
35,35,20210608, 16:22:33,0.0970428,1.248907,-0.1874211,-0.02557424,0.7794009,0.05243542, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe tmp O,0.253067,-0.07835388,0.9642639,31,0.9776673,0.09138489,-0.1108093,0.989624,-34.21202,2.999908,-34.56438,3.720245,0.5954132,0.5603401,0,0,0,31,0.9274211,0.3013153,-0.06793213,0.9510956,36.59848,4.642853,-31.06558,4.667618,0.3257592,0.45003,0,0,0,
36,36,20210608, 16:22:33,0.09711456,1.248954,-0.1870911,-0.02495793,0.7790775,0.05319465, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.2367859,-0.04222107,0.9706268,31,0.9778193,0.0785675,-0.122818,0.9893036,-34.33224,2.929062,-34.37476,3.561905,0.6009204,0.5624592,0,0,0,31,0.9278898,0.2625122,-0.02861023,0.9644928,36.53801,4.688797,-31.1696,4.473602,0.3327849,0.4443993,0,0,0,
37,37,20210608, 16:22:33,0.09711456,1.248954,-0.1870911,-0.02495793,0.7790775,0.05319465, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.2367859,-0.04222107,0.9706268,31,0.9778193,0.0785675,-0.122818,0.9893036,-34.33224,2.929062,-34.37476,3.561905,0.6009204,0.5624592,0,0,0,31,0.9278898,0.2625122,-0.02861023,0.9644928,36.53801,4.688797,-31.1696,4.473602,0.3327849,0.4443993,0,0,0,
38,38,20210608, 16:22:33,0.09711456,1.248954,-0.1870911,-0.02495793,0.7790775,0.05319465, E4_Gsr 1623136953.228 0.2485483, E4_Bvp 1623136954.13843 16.66138, R device_subscribe tmp O,0.2367859,-0.04222107,0.9706268,31,0.9778193,0.0785675,-0.122818,0.9893036,-34.33224,2.929062,-34.37476,3.561905,0.6009204,0.5624592,0,0,0,31,0.9278898,0.2625122,-0.02861023,0.9644928,36.53801,4.688797,-31.1696,4.473602,0.3327849,0.4443993,0,0,0,
